,prev,curr,type,n
12079530,battle_of_avdiivka_(2022–2023),2022_russian_invasion_of_ukraine,link,598.0
12077062,t-80,2022_russian_invasion_of_ukraine,link,596.0
12075898,outline_of_the_russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,577.0
12078672,2023_black_sea_drone_incident,2022_russian_invasion_of_ukraine,link,571.0
12075062,kharkiv,2022_russian_invasion_of_ukraine,link,570.0
12078982,2020s,2022_russian_invasion_of_ukraine,link,565.0
12078766,2023_estonian_parliamentary_election,2022_russian_invasion_of_ukraine,link,542.0
12079340,bmp-3,2022_russian_invasion_of_ukraine,link,542.0
12079430,battle_of_soledar,2022_russian_invasion_of_ukraine,link,535.0
12077210,yevgeny_prigozhin,2022_russian_invasion_of_ukraine,link,533.0
12079104,m142_himars,2022_russian_invasion_of_ukraine,link,528.0
12079016,gina_carano,2022_russian_invasion_of_ukraine,link,525.0
12075680,international_criminal_court,2022_russian_invasion_of_ukraine,link,523.0
12079072,battle_of_kharkiv_(2022),2022_russian_invasion_of_ukraine,link,521.0
12079474,t-14_armata,2022_russian_invasion_of_ukraine,link,514.0
12076520,btr-50,2022_russian_invasion_of_ukraine,link,507.0
12079368,donetsk_oblast,2022_russian_invasion_of_ukraine,link,503.0
12077068,list_of_conflicts_in_europe,2022_russian_invasion_of_ukraine,link,496.0
12077080,emmanuel_macron,2022_russian_invasion_of_ukraine,link,489.0
12077346,liberation_of_kherson,2022_russian_invasion_of_ukraine,link,489.0
12078504,bucha_massacre,2022_russian_invasion_of_ukraine,link,488.0
12079444,t-64,2022_russian_invasion_of_ukraine,link,477.0
12079408,russian_navy,2022_russian_invasion_of_ukraine,link,476.0
12078564,chernobyl_nuclear_power_plant,2022_russian_invasion_of_ukraine,link,472.0
12078104,icc_arrest_warrants_for_vladimir_putin_and_maria_lvova-belova,2022_russian_invasion_of_ukraine,link,469.0
12079906,timeline_of_the_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,468.0
12078194,2022–2023_russian_strikes_against_ukrainian_infrastructure,2022_russian_invasion_of_ukraine,link,460.0
12077104,slava_ukraini,2022_russian_invasion_of_ukraine,link,457.0
12076106,valerii_zaluzhnyi,2022_russian_invasion_of_ukraine,link,452.0
12078328,btr-4,2022_russian_invasion_of_ukraine,link,444.0
12078286,sinking_of_the_moskva,2022_russian_invasion_of_ukraine,link,438.0
12077366,sergey_surovikin,2022_russian_invasion_of_ukraine,link,434.0
12076238,battle_of_hostomel,2022_russian_invasion_of_ukraine,link,428.0
12076330,russian_occupation_of_kherson_oblast,2022_russian_invasion_of_ukraine,link,424.0
12076130,panther_kf51,2022_russian_invasion_of_ukraine,link,416.0
12077088,m113_armored_personnel_carrier,2022_russian_invasion_of_ukraine,link,411.0
12077778,nikita_mazepin,2022_russian_invasion_of_ukraine,link,410.0
12077594,boryspil_international_airport,2022_russian_invasion_of_ukraine,link,410.0
12076060,m777_howitzer,2022_russian_invasion_of_ukraine,link,407.0
12076234,2023_formula_one_world_championship,2022_russian_invasion_of_ukraine,link,403.0
12077192,valery_gerasimov,2022_russian_invasion_of_ukraine,link,399.0
12075770,united_states,2022_russian_invasion_of_ukraine,link,393.0
12079878,minsk_agreements,2022_russian_invasion_of_ukraine,link,381.0
12078496,ak-12,2022_russian_invasion_of_ukraine,link,377.0
12078118,russian-occupied_territories,2022_russian_invasion_of_ukraine,link,374.0
12077954,russian_airborne_forces,2022_russian_invasion_of_ukraine,link,374.0
12079324,prelude_to_the_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,373.0
12075852,sergei_shoigu,2022_russian_invasion_of_ukraine,link,372.0
12075290,list_of_equipment_of_the_russian_ground_forces,2022_russian_invasion_of_ukraine,link,371.0
12077264,next_ukrainian_presidential_election,2022_russian_invasion_of_ukraine,link,368.0
12079314,petr_yan,2022_russian_invasion_of_ukraine,link,350.0
12075952,ak-74,2022_russian_invasion_of_ukraine,link,345.0
12077702,kherson,2022_russian_invasion_of_ukraine,link,344.0
12077606,list_of_military_engagements_during_the_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,343.0
12076336,ryan_reynolds,2022_russian_invasion_of_ukraine,link,340.0
12078732,kyiv,2022_russian_invasion_of_ukraine,link,335.0
12075930,sukhoi_su-35,2022_russian_invasion_of_ukraine,link,334.0
12075668,february_24,2022_russian_invasion_of_ukraine,link,330.0
12077260,btr-80,2022_russian_invasion_of_ukraine,link,323.0
12074924,carl_gustaf_8.4_cm_recoilless_rifle,2022_russian_invasion_of_ukraine,link,321.0
12079608,russian_occupation_of_kharkiv_oblast,2022_russian_invasion_of_ukraine,link,320.0
12079846,2021–2023_inflation_surge,2022_russian_invasion_of_ukraine,link,318.0
12075794,m270_multiple_launch_rocket_system,2022_russian_invasion_of_ukraine,link,317.0
12079866,odesa,2022_russian_invasion_of_ukraine,link,317.0
12078858,2026_fifa_world_cup_qualification,2022_russian_invasion_of_ukraine,link,316.0
12078258,luhansk_people's_republic,2022_russian_invasion_of_ukraine,link,315.0
12076376,russia–united_states_relations,2022_russian_invasion_of_ukraine,link,314.0
12077154,kadyrovites,2022_russian_invasion_of_ukraine,link,313.0
12079376,t-84,2022_russian_invasion_of_ukraine,link,311.0
12076674,russian_cruiser_moskva,2022_russian_invasion_of_ukraine,link,309.0
12076138,mila_kunis,2022_russian_invasion_of_ukraine,link,309.0
12078018,ak-47,2022_russian_invasion_of_ukraine,link,305.0
12078662,jean-claude_van_damme,2022_russian_invasion_of_ukraine,link,300.0
12074770,doomsday_clock,2022_russian_invasion_of_ukraine,link,298.0
12077650,humvee,2022_russian_invasion_of_ukraine,link,298.0
12079826,2022_snake_island_campaign,2022_russian_invasion_of_ukraine,link,294.0
12075210,list_of_invasions,2022_russian_invasion_of_ukraine,link,292.0
12075878,oleksandr_zinchenko_(footballer),2022_russian_invasion_of_ukraine,link,291.0
12077798,sukhoi_su-25,2022_russian_invasion_of_ukraine,link,287.0
12078682,national_guard_of_ukraine,2022_russian_invasion_of_ukraine,link,285.0
12076752,95th_academy_awards,2022_russian_invasion_of_ukraine,link,282.0
12079628,s.t.a.l.k.e.r._2:_heart_of_chornobyl,2022_russian_invasion_of_ukraine,link,281.0
12076692,battle_of_kherson,2022_russian_invasion_of_ukraine,link,281.0
12078632,list_of_wars_involving_russia,2022_russian_invasion_of_ukraine,link,280.0
12076202,history_of_ukraine,2022_russian_invasion_of_ukraine,link,280.0
12076720,mikoyan_mig-29,2022_russian_invasion_of_ukraine,link,277.0
12078262,russian_occupation_of_zaporizhzhia_oblast,2022_russian_invasion_of_ukraine,link,276.0
12079486,2022–2023_western_russia_attacks,2022_russian_invasion_of_ukraine,link,274.0
12077664,battle_of_vasylkiv,2022_russian_invasion_of_ukraine,link,274.0
12077620,molotov_cocktail,2022_russian_invasion_of_ukraine,link,272.0
12079702,enlargement_of_nato,2022_russian_invasion_of_ukraine,link,270.0
12079830,modern_history_of_ukraine,2022_russian_invasion_of_ukraine,link,266.0
12075184,bryansk,2022_russian_invasion_of_ukraine,link,265.0
12077470,2022_missile_explosion_in_poland,2022_russian_invasion_of_ukraine,link,258.0
12078482,igor_girkin,2022_russian_invasion_of_ukraine,link,258.0
12078044,avdiivka,2022_russian_invasion_of_ukraine,link,257.0
12077916,united_nations_general_assembly_resolution_es-11/1,2022_russian_invasion_of_ukraine,link,257.0
12075936,ukraine–nato_relations,2022_russian_invasion_of_ukraine,link,256.0
12075922,budapest_memorandum,2022_russian_invasion_of_ukraine,link,255.0
12078488,azov_brigade,2022_russian_invasion_of_ukraine,link,255.0
12076930,m109_howitzer,2022_russian_invasion_of_ukraine,link,250.0
12075108,territorial_control_during_the_russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,250.0
12076098,sweden–nato_relations,2022_russian_invasion_of_ukraine,link,242.0
12078838,attrition_warfare,2022_russian_invasion_of_ukraine,link,241.0
12078646,list_of_anthropogenic_disasters_by_death_toll,2022_russian_invasion_of_ukraine,link,241.0
12076968,chatgpt,2022_russian_invasion_of_ukraine,link,240.0
12078490,soledar,2022_russian_invasion_of_ukraine,link,239.0
12079626,at4,2022_russian_invasion_of_ukraine,link,239.0
12079650,9k720_iskander,2022_russian_invasion_of_ukraine,link,236.0
12079690,rasputitsa,2022_russian_invasion_of_ukraine,link,235.0
12075010,aeroflot,2022_russian_invasion_of_ukraine,link,234.0
12078462,sergey_lavrov,2022_russian_invasion_of_ukraine,link,233.0
12079910,uefa_euro_2028,2022_russian_invasion_of_ukraine,link,233.0
12077094,ukraine_(disambiguation),2022_russian_invasion_of_ukraine,link,227.0
12079432,demographics_of_ukraine,2022_russian_invasion_of_ukraine,link,226.0
12078340,2021–2023_global_energy_crisis,2022_russian_invasion_of_ukraine,link,226.0
12074848,proxy_war,2022_russian_invasion_of_ukraine,other,226.0
12077214,advance_wars_1+2:_re-boot_camp,2022_russian_invasion_of_ukraine,link,225.0
12077390,uefa_euro_2024,2022_russian_invasion_of_ukraine,link,224.0
12077440,tos-1,2022_russian_invasion_of_ukraine,link,223.0
12079954,battle_of_bucha,2022_russian_invasion_of_ukraine,link,223.0
12078652,donbas,2022_russian_invasion_of_ukraine,link,223.0
12076088,rpg-7,2022_russian_invasion_of_ukraine,link,221.0
12076386,leclerc_tank,2022_russian_invasion_of_ukraine,link,220.0
12079812,panzerhaubitze_2000,2022_russian_invasion_of_ukraine,link,220.0
