,prev,curr,type,n
2749388,other-search,2022_russian_invasion_of_ukraine,external,338311.0
2749856,other-empty,2022_russian_invasion_of_ukraine,external,265254.0
2749198,main_page,2022_russian_invasion_of_ukraine,link,217972.0
2746840,russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,91765.0
2747452,other-internal,2022_russian_invasion_of_ukraine,external,51382.0
2749874,other-external,2022_russian_invasion_of_ukraine,external,31464.0
2748870,ukraine,2022_russian_invasion_of_ukraine,link,28079.0
2750470,casualties_of_the_russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,18380.0
2751308,2022,2022_russian_invasion_of_ukraine,link,8418.0
2748916,volodymyr_zelenskyy,2022_russian_invasion_of_ukraine,link,7624.0
2747582,list_of_ongoing_armed_conflicts,2022_russian_invasion_of_ukraine,link,4917.0
2750240,battle_of_bakhmut,2022_russian_invasion_of_ukraine,link,4737.0
2750596,timeline_of_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,4574.0
2748824,russia,2022_russian_invasion_of_ukraine,link,4300.0
2750074,war_in_donbas_(2014–2022),2022_russian_invasion_of_ukraine,link,3818.0
2750966,list_of_wars_involving_ukraine,2022_russian_invasion_of_ukraine,link,3801.0
2748748,vladimir_putin,2022_russian_invasion_of_ukraine,link,3606.0
2747800,world_war_iii,2022_russian_invasion_of_ukraine,link,3062.0
2748616,wagner_group,2022_russian_invasion_of_ukraine,link,2730.0
2750522,battle_of_donbas_(2022),2022_russian_invasion_of_ukraine,link,2704.0
2746814,2022_ukrainian_southern_counteroffensive,2022_russian_invasion_of_ukraine,link,2524.0
2750544,timeline_of_the_2022_russian_invasion_of_ukraine:_phase_3,2022_russian_invasion_of_ukraine,link,2307.0
2750732,prelude_to_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,2164.0
2747082,2022_ukrainian_eastern_counteroffensive,2022_russian_invasion_of_ukraine,link,1974.0
2748946,"russian_annexation_of_donetsk,_kherson,_luhansk_and_zaporizhzhia_oblasts",2022_russian_invasion_of_ukraine,link,1917.0
2749702,battle_of_kyiv_(2022),2022_russian_invasion_of_ukraine,link,1884.0
2747752,viktor_bout,2022_russian_invasion_of_ukraine,link,1784.0
2747156,list_of_invasions_and_occupations_of_ukraine,2022_russian_invasion_of_ukraine,link,1744.0
2746594,mim-104_patriot,2022_russian_invasion_of_ukraine,link,1721.0
2751246,order_of_battle_for_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,1671.0
2750076,battle_of_antonov_airport,2022_russian_invasion_of_ukraine,link,1671.0
2750080,siege_of_mariupol,2022_russian_invasion_of_ukraine,link,1663.0
2750542,2022_fifa_world_cup,2022_russian_invasion_of_ukraine,link,1649.0
2750954,ukrainian_ground_forces,2022_russian_invasion_of_ukraine,link,1629.0
2750904,list_of_military_engagements_during_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,1606.0
2749070,kyiv_offensive_(2022),2022_russian_invasion_of_ukraine,link,1547.0
2746606,joe_biden,2022_russian_invasion_of_ukraine,link,1450.0
2750328,russian_armed_forces,2022_russian_invasion_of_ukraine,link,1418.0
2750660,bakhmut,2022_russian_invasion_of_ukraine,link,1398.0
2749420,armed_forces_of_ukraine,2022_russian_invasion_of_ukraine,link,1355.0
2750830,brittney_griner,2022_russian_invasion_of_ukraine,link,1339.0
2749382,eastern_ukraine_campaign,2022_russian_invasion_of_ukraine,link,1281.0
2748266,m142_himars,2022_russian_invasion_of_ukraine,link,1278.0
2748296,engels-2_(air_base),2022_russian_invasion_of_ukraine,link,1269.0
2749266,t-90,2022_russian_invasion_of_ukraine,link,1261.0
2747824,list_of_aircraft_losses_during_the_russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,1248.0
2750974,russian_ground_forces,2022_russian_invasion_of_ukraine,link,1243.0
2747774,russian_air_force,2022_russian_invasion_of_ukraine,link,1123.0
