,prev,curr,type,n
23289953,other-search,2022_russian_invasion_of_ukraine,external,2079917
23288210,other-empty,2022_russian_invasion_of_ukraine,external,1526359
23288948,main_page,2022_russian_invasion_of_ukraine,link,735855
23288047,russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,389193
23289771,other-internal,2022_russian_invasion_of_ukraine,external,340017
23289681,ukraine,2022_russian_invasion_of_ukraine,link,123133
23290591,siege_of_mariupol,2022_russian_invasion_of_ukraine,link,56415
23290031,other-external,2022_russian_invasion_of_ukraine,external,37638
23288525,timeline_of_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,35272
23288172,casualties_of_the_russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,32585
23290326,russian_cruiser_moskva,2022_russian_invasion_of_ukraine,link,26551
23290124,kyiv_offensive_(2022),2022_russian_invasion_of_ukraine,link,22621
23288702,battle_of_kyiv_(2022),2022_russian_invasion_of_ukraine,link,21841
23289601,bucha_massacre,2022_russian_invasion_of_ukraine,link,18105
23290566,prelude_to_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,17354
23289005,war_in_donbas,2022_russian_invasion_of_ukraine,link,16881
23289442,list_of_military_engagements_during_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,15952
23288790,eastern_ukraine_offensive,2022_russian_invasion_of_ukraine,link,15582
23289697,volodymyr_zelenskyy,2022_russian_invasion_of_ukraine,link,13794
23289725,list_of_ongoing_armed_conflicts,2022_russian_invasion_of_ukraine,link,12963
23288141,vladimir_putin,2022_russian_invasion_of_ukraine,link,12474
23289809,world_war_iii,2022_russian_invasion_of_ukraine,link,10768
23290175,russia,2022_russian_invasion_of_ukraine,link,10765
23289411,2022,2022_russian_invasion_of_ukraine,link,10150
23289400,battle_of_bucha,2022_russian_invasion_of_ukraine,link,9255
23288179,mariupol,2022_russian_invasion_of_ukraine,link,8930
23290755,battle_of_kharkiv_(2022),2022_russian_invasion_of_ukraine,link,8707
23290297,aleksandr_dvornikov,2022_russian_invasion_of_ukraine,link,8586
23289526,armed_forces_of_ukraine,2022_russian_invasion_of_ukraine,link,7953
23290896,list_of_invasions_and_occupations_of_ukraine,2022_russian_invasion_of_ukraine,link,7758
23288491,sinking_of_the_moskva,2022_russian_invasion_of_ukraine,link,6617
23289677,azov_battalion,2022_russian_invasion_of_ukraine,link,6130
23289403,order_of_battle_for_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,6126
23289196,southern_ukraine_offensive,2022_russian_invasion_of_ukraine,link,6061
23288927,black_sea_fleet,2022_russian_invasion_of_ukraine,link,5893
