,prev,curr,type,n
14487800,other-search,2022_russian_invasion_of_ukraine,external,987511.0
14488236,other-empty,2022_russian_invasion_of_ukraine,external,627869.0
14486432,main_page,2022_russian_invasion_of_ukraine,link,355303.0
14489512,russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,178971.0
14488454,other-internal,2022_russian_invasion_of_ukraine,external,127801.0
14487956,ukraine,2022_russian_invasion_of_ukraine,link,49270.0
14488284,other-external,2022_russian_invasion_of_ukraine,external,20035.0
14490102,casualties_of_the_russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,15274.0
14486020,timeline_of_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,13255.0
14487796,eastern_ukraine_offensive,2022_russian_invasion_of_ukraine,link,9831.0
14487660,battle_of_sievierodonetsk_(2022),2022_russian_invasion_of_ukraine,link,9449.0
14489940,siege_of_mariupol,2022_russian_invasion_of_ukraine,link,6900.0
14485704,list_of_ongoing_armed_conflicts,2022_russian_invasion_of_ukraine,link,6698.0
14486946,battle_of_donbas_(2022),2022_russian_invasion_of_ukraine,link,6007.0
14485598,2022,2022_russian_invasion_of_ukraine,link,5756.0
14489664,vladimir_putin,2022_russian_invasion_of_ukraine,link,5713.0
14485268,volodymyr_zelenskyy,2022_russian_invasion_of_ukraine,link,5603.0
14489934,war_in_donbas,2022_russian_invasion_of_ukraine,link,5050.0
14489614,world_war_iii,2022_russian_invasion_of_ukraine,link,5033.0
14488576,prelude_to_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,4670.0
14489224,russia,2022_russian_invasion_of_ukraine,link,4662.0
14485632,list_of_military_engagements_during_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,4048.0
14489230,sievierodonetsk,2022_russian_invasion_of_ukraine,link,3700.0
14486068,armed_forces_of_ukraine,2022_russian_invasion_of_ukraine,link,3660.0
14489924,candidates_tournament_2022,2022_russian_invasion_of_ukraine,link,3457.0
14489396,donetsk_people's_republic,2022_russian_invasion_of_ukraine,link,3248.0
14486994,list_of_wars_involving_ukraine,2022_russian_invasion_of_ukraine,link,2569.0
14487220,battle_of_kyiv_(2022),2022_russian_invasion_of_ukraine,link,2533.0
14486638,kyiv_offensive_(2022),2022_russian_invasion_of_ukraine,link,2513.0
14490364,battle_of_kharkiv_(2022),2022_russian_invasion_of_ukraine,link,2475.0
14488230,luhansk_people's_republic,2022_russian_invasion_of_ukraine,link,2415.0
14487834,m777_howitzer,2022_russian_invasion_of_ukraine,link,2364.0
14487102,list_of_aircraft_losses_during_the_russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,2297.0
14490362,list_of_invasions_and_occupations_of_ukraine,2022_russian_invasion_of_ukraine,link,2251.0
14487306,ukrainian_ground_forces,2022_russian_invasion_of_ukraine,link,2225.0
14486072,joe_biden,2022_russian_invasion_of_ukraine,link,2110.0
14485550,order_of_battle_for_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,2065.0
14487542,southern_ukraine_offensive,2022_russian_invasion_of_ukraine,link,2019.0
14489738,morbius_(film),2022_russian_invasion_of_ukraine,link,2002.0
14487000,russian_ground_forces,2022_russian_invasion_of_ukraine,link,1985.0
14486866,list_of_russian_generals_killed_during_the_2022_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,1983.0
14485862,ukrainian_air_force,2022_russian_invasion_of_ukraine,link,1747.0
14490086,wagner_group,2022_russian_invasion_of_ukraine,link,1670.0
14486268,2022_ukrainian_refugee_crisis,2022_russian_invasion_of_ukraine,link,1655.0
14489636,m142_himars,2022_russian_invasion_of_ukraine,link,1649.0
14487904,russian_air_force,2022_russian_invasion_of_ukraine,link,1624.0
14486420,mariupol,2022_russian_invasion_of_ukraine,link,1583.0
14490300,antonov_an-225_mriya,2022_russian_invasion_of_ukraine,link,1508.0
14485752,list_of_equipment_of_the_ukrainian_ground_forces,2022_russian_invasion_of_ukraine,link,1492.0
14486400,aleksandr_dvornikov,2022_russian_invasion_of_ukraine,link,1476.0
14489936,battle_of_antonov_airport,2022_russian_invasion_of_ukraine,link,1440.0
14489112,russian-occupied_territories,2022_russian_invasion_of_ukraine,link,1378.0
14487066,russia–ukraine_relations,2022_russian_invasion_of_ukraine,link,1377.0
14487776,nato,2022_russian_invasion_of_ukraine,link,1372.0
14486918,russian_separatist_forces_in_donbas,2022_russian_invasion_of_ukraine,link,1331.0
14486496,2022_danish_european_union_opt-out_referendum,2022_russian_invasion_of_ukraine,link,1284.0
14485738,panzerhaubitze_2000,2022_russian_invasion_of_ukraine,link,1246.0
14490028,donbas,2022_russian_invasion_of_ukraine,link,1244.0
14487696,lysychansk,2022_russian_invasion_of_ukraine,link,1239.0
14485952,azov_regiment,2022_russian_invasion_of_ukraine,link,1212.0
14488718,battle_of_kherson,2022_russian_invasion_of_ukraine,link,1210.0
14486234,list_of_wars:_2003–present,2022_russian_invasion_of_ukraine,link,1143.0
14489132,baykar_bayraktar_tb2,2022_russian_invasion_of_ukraine,link,1126.0
14488690,t-90,2022_russian_invasion_of_ukraine,link,1111.0
14489612,m270_multiple_launch_rocket_system,2022_russian_invasion_of_ukraine,link,1109.0
14487946,post-soviet_conflicts,2022_russian_invasion_of_ukraine,link,1082.0
14488652,2022_formula_one_world_championship,2022_russian_invasion_of_ukraine,link,1080.0
14487556,z_(military_symbol),2022_russian_invasion_of_ukraine,link,1072.0
14486870,t-72,2022_russian_invasion_of_ukraine,link,1049.0
14488158,international_legion_of_territorial_defense_of_ukraine,2022_russian_invasion_of_ukraine,link,1025.0
14488426,battle_of_lysychansk,2022_russian_invasion_of_ukraine,link,1019.0
14487320,t-62,2022_russian_invasion_of_ukraine,link,1014.0
14485676,m109_howitzer,2022_russian_invasion_of_ukraine,link,978.0
14489736,on_conducting_a_special_military_operation,2022_russian_invasion_of_ukraine,link,934.0
14489848,2022_fifa_world_cup,2022_russian_invasion_of_ukraine,link,928.0
14489126,kherson,2022_russian_invasion_of_ukraine,link,924.0
14487714,nikita_mazepin,2022_russian_invasion_of_ukraine,link,923.0
14488422,depp_v._heard,2022_russian_invasion_of_ukraine,link,915.0
