,prev,curr,type,n
19744911,2022_russian_invasion_of_ukraine,timeline_of_the_2022_russian_invasion_of_ukraine,link,96054.0
30951879,2022_russian_invasion_of_ukraine,list_of_military_engagements_during_the_2022_russian_invasion_of_ukraine,link,56177.0
5088182,2022_russian_invasion_of_ukraine,russo-ukrainian_war,link,26333.0
31110777,2022_russian_invasion_of_ukraine,casualties_of_the_russo-ukrainian_war,link,25918.0
10764852,2022_russian_invasion_of_ukraine,order_of_battle_for_the_2022_russian_invasion_of_ukraine,link,25450.0
11755041,2022_russian_invasion_of_ukraine,russian_emigration_following_the_2022_invasion_of_ukraine,link,16112.0
13297458,2022_russian_invasion_of_ukraine,main_page,other,15502.0
4449660,2022_russian_invasion_of_ukraine,volodymyr_zelenskyy,link,14367.0
35423,2022_russian_invasion_of_ukraine,timeline_of_the_2022_russian_invasion_of_ukraine:_phase_3,link,13639.0
23588035,2022_russian_invasion_of_ukraine,donetsk_people's_republic,link,11659.0
30182513,2022_russian_invasion_of_ukraine,list_of_foreign_aid_to_ukraine_during_the_russo-ukrainian_war,link,10654.0
25306471,2022_russian_invasion_of_ukraine,territorial_control_during_the_russo-ukrainian_war,link,10162.0
15985654,2022_russian_invasion_of_ukraine,ukraine,link,9692.0
29016998,2022_russian_invasion_of_ukraine,2022_ukrainian_eastern_counteroffensive,link,8296.0
2591410,2022_russian_invasion_of_ukraine,war_crimes_in_the_2022_russian_invasion_of_ukraine,link,8245.0
18147924,2022_russian_invasion_of_ukraine,reactions_to_the_2022_russian_invasion_of_ukraine,link,8133.0
28959936,2022_russian_invasion_of_ukraine,luhansk_people's_republic,link,7911.0
27920666,2022_russian_invasion_of_ukraine,russia,link,7867.0
3222842,2022_russian_invasion_of_ukraine,vladimir_putin,link,7820.0
6800300,2022_russian_invasion_of_ukraine,2022_ukrainian_southern_counteroffensive,link,7754.0
27621743,2022_russian_invasion_of_ukraine,2022_russia–ukraine_peace_negotiations,link,6495.0
7467122,2022_russian_invasion_of_ukraine,2022_ukrainian_refugee_crisis,link,6095.0
16567078,2022_russian_invasion_of_ukraine,"russian_annexation_of_donetsk,_kherson,_luhansk_and_zaporizhzhia_oblasts",link,5402.0
29943974,2022_russian_invasion_of_ukraine,revolution_of_dignity,link,5217.0
15480872,2022_russian_invasion_of_ukraine,belarus,link,5195.0
27592505,2022_russian_invasion_of_ukraine,russian_irredentism,link,5184.0
3985891,2022_russian_invasion_of_ukraine,list_of_russian_generals_killed_during_the_2022_invasion_of_ukraine,link,4751.0
12692739,2022_russian_invasion_of_ukraine,list_of_invasions_and_occupations_of_ukraine,link,4720.0
5531007,2022_russian_invasion_of_ukraine,corporate_responses_to_the_2022_russian_invasion_of_ukraine,link,4505.0
7218978,2022_russian_invasion_of_ukraine,outline_of_the_russo-ukrainian_war,link,4365.0
5665286,2022_russian_invasion_of_ukraine,denazification,link,3951.0
24792828,2022_russian_invasion_of_ukraine,list_of_ongoing_armed_conflicts,link,3853.0
30068392,2022_russian_invasion_of_ukraine,list_of_interstate_wars_since_1945,link,3589.0
16260916,2022_russian_invasion_of_ukraine,battle_of_bakhmut,link,3478.0
24000901,2022_russian_invasion_of_ukraine,russian_people's_militias_in_ukraine,link,3405.0
8737397,2022_russian_invasion_of_ukraine,wagner_group,link,3378.0
24789951,2022_russian_invasion_of_ukraine,list_of_largest_refugee_crises,link,3235.0
12536499,2022_russian_invasion_of_ukraine,antonov_an-225_mriya,link,3135.0
11705718,2022_russian_invasion_of_ukraine,october_revolution,link,3127.0
30117041,2022_russian_invasion_of_ukraine,battle_of_antonov_airport,link,3081.0
22080603,2022_russian_invasion_of_ukraine,2022_food_crises,link,3079.0
24239339,2022_russian_invasion_of_ukraine,timeline_of_the_2022_russian_invasion_of_ukraine:_phase_1,link,3076.0
8840722,2022_russian_invasion_of_ukraine,liberation_of_kherson,link,3028.0
25644131,2022_russian_invasion_of_ukraine,prelude_to_the_2022_russian_invasion_of_ukraine,link,2893.0
19344922,2022_russian_invasion_of_ukraine,dmitry_medvedev,link,2759.0
6436865,2022_russian_invasion_of_ukraine,kyiv_offensive_(2022),link,2745.0
